Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
11/14/2024,36,7752.000000000001,,3,3,76.43272727272728,104,45,0.6722785310018785,1.2964064448803463,0.31426971019973726,,,,,,,,,
11/15/2024,30,7752.000000000001,3453.615671641791,5,5,80.30909090909091,132,49,0.6943544003635181,1.4393014108555526,0.039972403606965176,4780,,,,,,86400000,,
11/16/2024,94,4420.7768669178095,5050.260674835417,55,55,75.4715909090909,102,45,0.7482805365150841,1.4280464113479923,0.09910605690696023,6989,,,,,,37800000,,1800000
11/17/2024,,1685.6249929666521,41.48360549453075,,,,,,0.2880805878252105,0.3142697268213128,0.26189144882910825,126,,,,,,,,
11/18/2024,40,6193.278644026153,,6,6,77.63818181818182,135,48,0.4190020400009634,1.510385701222745,0.28284276473543696,,,,,,,64200000,,
11/19/2024,46,7759.426043888889,3598.1377118644064,9,9,77.71376811594203,139,49,0.40312478881926145,1.4598392328896939,0.04164511240583804,4799,,,,,,86314996,85004,
11/20/2024,12,7751.999999999999,3598.1377118644064,4,4,78.88,150,49,0.40910847558006785,1.530392413951633,0.28284276473543696,4799,,,,,,86400000,,
11/21/2024,71,7521.446349656019,4403.669404843489,23,23,75.48260869565217,121,49,0.7782172227226599,1.45712990678139,0.06249159071180556,5919,,,,597174,,82276557,,300000
11/22/2024,27,7752,2865.1600709606987,2,2,82.93115942028986,117,49,0.6356834633612167,1.4230011647311143,0.03316157489537846,3907,,,,,,86400000,,
11/23/2024,123,6125.340742284639,6772.1772944687755,52,52,85.5088500727802,151,55,0.4307738717341994,1.3477326719903167,0.015142552801903257,9490,,,,,117977,62700000,,2400000
11/24/2024,1,1706.6887950744067,40.732333360065724,,,,,,0.3142697421706212,0.3142697421706212,0.3142697421706212,128,,,,,,300000,,
11/25/2024,26,4663.17678975888,2128.561907281465,14,14,76.4957627118644,116,48,0.4709859982618998,1.4643847169749364,0.04149352295507344,2909,,,,678580,,41683394,,
11/26/2024,14,1732.590462870639,691.4178416824641,3,3,,,,0.8125299088255677,1.404655170982311,0.31426973340441045,1156,,,,,,668903,,
11/27/2024,29,1821.1837580765073,1643.536583569596,11,11,,,,0.6192428683020982,1.4284841599333165,0.26670419219020036,2738,,,,,,1930688,,
11/28/2024,72,1776.3319594373165,2754.6271648601146,1,1,,,,0.3992747097372451,1.6895333414961347,0.24896534642632423,4425,,,,,,1291889,,
11/29/2024,46,1796.386707338479,2074.3310064661746,10,10,,,,0.40318705166772173,1.5574771661361138,0.29331842268860125,3296,,,,,,1577517,,
11/30/2024,,1685.624992966652,,,,,,,,,,56,,,,,,,,
12/1/2024,1,6909.447915689812,,,,,,,,,,3503,,,,,,74400000,,
12/2/2024,42,7756.522061388888,,20,20,,,,0.39952260033026954,1.3102765096266191,0.03441990494039018,2950,,,,957613,,62662088,,
12/3/2024,30,7751.999999999999,2973.879786849711,4,4,,,,0.7859614120421303,1.3322673503928901,0.2514157908759439,4067,,,,,,86400000,,
12/4/2024,96,7585.3439178021645,7266.327826597167,56,56,66.96997690531178,113,61,1.0696934972782537,1.4009276090463791,0.3103319914805875,10301,,,,,,82565213,,2700000
12/5/2024,68,6373.988087569854,7854.197418309957,57,57,76.00542584434655,121,47,0.7687258871891341,1.5353924355000266,0.04529049330640051,10827,,,,,,64925252,,2700000
12/6/2024,,1685.6249929666517,15.084947452556635,,,,,,0.2514157908759439,0.2514157908759439,0.2514157908759439,140,,,,,,,,
12/7/2024,3,1685.6249929666521,84.22428994344122,,,,,,0.33181253097026003,0.6142727284973012,0.31426972786785656,165,,,,,,,,
12/8/2024,,1685.6249929666524,,,,,,,,,,73,,,,,,,,
12/9/2024,19,1747.8148154996923,715.6795123320459,1,1,,,,0.5202467386187613,1.4241364810938018,0.26189144882910825,1194,,,,,,885735,,
12/10/2024,30,1806.8923208459644,2022.6175704672546,18,18,,,,0.43875897190195123,1.4875692610664215,0.26189144882910825,2974,,,,,,1727143,,
12/11/2024,13,1728.8337672163557,619.1940151290031,2,2,,,,0.34186219436328835,1.3505445071433024,0.2924015926350947,1096,,,,,,615399,,
12/12/2024,39,1842.8042076974964,2364.6240918008352,17,17,,,,0.3711879952309195,1.369599342644433,0.29786732145455846,3595,,,,,,2238616,,
